,Server Price,Sever Details
458,"$9,084.00",New ListingDell T630 Server 2 x E5-2697 v4 2.30 GHz 2x 500GB 128GB RAM H730
459,$474.03,New ListingMicrosoft 1 X WIN SVR ESS 2016 OEM + 1 X 32GB USB TG3S-01045/DT100G3/32G
460,"$8,946.00",New ListingDell T630 Server 2 x E5-2690 v4 2.60 GHz 256GB RAM 8x 300GB H330
461,"$9,714.00",Dell T620 Server 768GB RAM 16x 1TB & 480GB 2 x E5-2660v2 2.20 GHz H310
462,"$1,788.00",Dell PowerEdge R720 8 Bay E5-2643v2 3.50 GHz 64GB RAM 1x 300GB H710p
463,"$8,880.00",New ListingDell T630 Server 8GB RAM 14x 2TB & 200GB 1 x E5-2690v3 2.60 GHz H330
464,"$4,446.00",Dell R530 Server 2 x E5-2637v4 3.50 GHz 16GB RAM 2x 500GB & 1x 200GB H730p
465,"$4,422.00",Dell R530 Server 16GB RAM 5x 2TB & 1x 480GB 1 x E5-2696v3 2.30 GHz H730p
466,"$11,736.00",Dell PowerEdge R730xd 12 Bay 2 x E5-2695v4 2.10 GHz 6x 6TB SATA 384GB RAM H330
467,"$9,432.00",Dell PowerEdge R730xd 12 Bay 2 x E5-2699v3 2.30 GHz 8GB RAM 10x 4TB SATA H330
468,"$3,390.00",New ListingDell T630 Server 2 x E5-2603 v4 1.70 GHz 64GB RAM 6x 1TB H330
469,"$11,496.00",Dell PowerEdge R730xd 12 Bay 2 x E5-2698v4 2.20 GHz 128GB RAM 10x 4TB SATA H330
470,"$1,902.00",Dell T620 Server 2 x E5-2630L 2.00 GHz 2TB & 200GB 64GB RAM H710
471,"$3,270.00",New ListingDell T630 Server 2 x E5-2620v3 2.40 GHz 32GB RAM 6x 500GB H330
472,"$1,908.00",Dell T620 Server 2 x E5-2665 2.40 GHz 8GB RAM 3x 2TB & 480GB H310
473,"$3,258.00",New ListingDell T630 Server 16GB RAM 12x 300GB 2 x E5-2620v3 2.40 GHz H330
474,"$1,872.00",Dell PowerEdge R730xd 24 Bay E5-2609v3 1.90 GHz No HDD 8GB RAM H330
475,"$8,298.00",New ListingDell T630 Server 2 x E5-2660 v4 2.00 GHz 8x 600GB 128GB RAM H730p
476,$369.99,"New ListingDell PowerEdge R610 Server, 2x 3.06 GHz X5675 6 Core, 96GB, 2x 300GB 10k, 2x RPS"
477,$329.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 64GB, 2x 146GB 15k, H700, RPS"
478,$449.99,"New ListingDell PowerEdge R610 Server 2x 3.06 GHz Six Core, 96GB, 2x 600GB SAS, H700, RPS"
479,$674.99,Dell R420 8B SFF 12-Core 2.40GHz E5-2440 96GB 2x 300GB H310 iDRAC7 2x PSU DRPS
480,$96.00 to $340.00,Build Your Own HP Proliant BL460c G7 Blade 8-Core 2.00GHz E5504 Wholesale
481,"$17,136.00",Lenovo SR650 Server 64GB RAM 1 x 600GB 2 x Gold 6142M 2.60 GHz 930-16i
482,"$8,826.00",Lenovo SR630 Server 1 x Gold 6136 3.00 GHz 1 x 300GB 192GB RAM 930-16i
483,"$5,520.00",Dell R530 Server 1 x E5-2697v3 2.60 GHz 256GB RAM 6x 1TB & 1x 200GB H730p
484,"$9,024.00",Lenovo SR650 Server 2 x Silver 4116 2.10 GHz 96GB RAM 5 x 1TB 930-16i
485,"$10,446.00",Dell T620 Server 2 x E5-2640 2.50 GHz 768GB RAM 16x 1.2TB & 480GB H710
486,"$1,626.00",Dell PowerEdge R720 8 Bay E5-2643 3.30 GHz 6x 300GB 32GB RAM H310
487,"$8,454.00",New ListingDell T630 Server 2 x E5-2687W v4 3.00 GHz 4x 1TB 16GB RAM H730p
488,"$15,630.00",New ListingDell T630 Server 768GB RAM 14x 1.2TB 2 x E5-2643 v4 3.40 GHz H330
489,"$4,656.00",HP DL160 G9 Server 2 x E5-2683v3 2.00 GHz 128GB RAM 1x 200GB B140i
490,"$8,280.00",Lenovo SR630 Server 2 x Gold 5122 3.60 GHz 128GB RAM 2 x 300GB 930-16i
491,"$6,144.00",New ListingDell T630 Server 1 x E5-2680 v4 2.40 GHz 6x 1.2TB & 480GB 128GB RAM H730p
492,"$12,684.00",New ListingDell T630 Server 768GB RAM 12x 1.2TB 2 x E5-2620 v4 2.10 GHz H730
493,"$12,570.00",New ListingDell T630 Server 2 x E5-2660 v4 2.00 GHz 768GB RAM 10x 500GB H730p
494,"$7,038.00",Dell R530 Server 384GB RAM 7x 3TB & 1x 400GB 2 x E5-2623v3 3.00 GHz H330
495,"$6,954.00",Dell R530 Server 2 x E5-2696v3 2.30 GHz 128GB RAM 2x 2TB & 1x 480GB H730
496,"$11,898.00",New ListingDell T630 Server 2 x E5-2697 v4 2.30 GHz 256GB RAM 8x 1.2TB H330
497,"$11,628.00",New ListingDell T630 Server 2 x E5-2699 v4 2.20 GHz 4x 500GB 128GB RAM H730
498,"$5,568.00",Dell R530 Server 2 x E5-2660v4 2.00 GHz 6x 1TB SATA & 1x 400GB 64GB RAM H730
499,"$10,560.00",New ListingDell T630 Server 8GB RAM 14x 600GB 2 x E5-2690 v4 2.60 GHz H730
