,Server Price,Sever Details
136,$415.80,New ListingHP ProLiant DL380 G7 Server 2x 2.40Ghz L5530 QC 32GB 2x 1TB Energy-Efficient
137,"$3,548.95",New ListingHP ProLiant DL380 G9 Server 3.20Ghz 16-Core 256GB 2x 128GB SSD 12x 1TB High-End
138,$755.62,Mid-Level DELL PowerEdge R620 Server 2x 2.40Ghz E5-2665 8C 96GB
139,$312.29,New Listing64BIT Xeon Quad Server FSC Primergy TX140 S1 RAID Controller 8GB RAM is O50 MM
140,"$3,474.35",New ListingHP ProLiant DL380 G9 Server 2x 3.20Ghz E5-2667v3 8C 256GB 12x 450GB 15K High-End
141,"$3,103.46",New ListingHP ProLiant DL380 G9 Server 2x 3.20Ghz E5-2667v3 8C 256GB 2x 3TB SAS High-End
142,"$3,052.31",New ListingHP ProLiant DL380 G9 Server 2x 3.20Ghz E5-2667v3 8C 256GB 2x 450GB 15K High-End
143,$233.20,New ListingHP ProLiant DL380 G7 Server 2x 1.86Ghz E5502 QC 24GB  Entry-Level
144,"$3,580.50",New ListingHP ProLiant DL380 G7 Server 2x 2.93Ghz X5570 QC 72GB 16x NEW 800GB SSD High-End
145,$710.60,New ListingHP ProLiant DL360P G8 Server 2x2.10Ghz E5-2620v2 6C 72GB 2x300GB 10K SAS Economy
146,$96.00 to $340.00,Build Your Own HP Proliant BL460c G7 Blade 8-Core 2.13GHz L5630 Wholesale
147,$380.68,Dell PowerEdge R710 2 Xeon X5675 3.06GHz 12-CORE 64GB DDR3 RAID Perc6i +2x CADDY
148,$432.30,New ListingHP ProLiant DL360 G7 Server 2x 2.13Ghz L5630 QC 96GB  Energy-Efficient
149,"$3,131.44",New ListingHP ProLiant DL360 G9 Server 2x 3.20Ghz E5-2667v3 8C 288GB 8x 600GB 10K High-End
150,$952.78,DELL PowerEdge R620 Server 2x 3.30Ghz E5-2667v2 8C 64GB 3x 256GB SSD Premium
151,$721.60,New ListingHP ProLiant DL380 G7 Server 2x 2.93Ghz X5570 QC 72GB 8x 600GB 10K SAS High-End
152,$126.00 to $406.00,Build Your Own HP Proliant BL460c G7 Blade 12-Core 2.66GHz X5650 Wholesale
153,"$2,842.32",New ListingHP ProLiant DL360 G9 Server 2x 3.20Ghz E5-2667v3 8C 256GB 2x 512GB SSD High-End
154,"$1,500.00",New ListingDell PowerEdge R810 Two 2.66GHZ Eight-Core Processor 512GB RAM/NO HDD
155,$477.40,New ListingHP ProLiant DL380 G7 Server 2x 2.00Ghz E5504 QC 24GB 16x 250GB Economy
156,$125.00,Supermicro 2U 8 Bay SAS RAID/FREENAS Storage CSE-825 Barebone Chassis
157,$150.00,New ListingDELL POWEREDGE R710 SERVER 2x QC X5560 2.8GHZ 16GB PERC-6/i iDRAC6 NO HDD 870W
158,$829.00,"New ListingSuperMicro 2-Node 2u Server w/ X10DRT-H Motherboards,2x PSU,12x 3.5"" Drive Bays"
159,"$832.00 to $2,002.00","HP ProLiant DL360p G8 server, 2x 3.0Hz E5-2690v2 10-Core, 32GB - 256GB RAM"
160,"$1,133.33",Fujitsu rx200 s8 1u Server 2x Xeon e5-2650v2 8c 32gb 4x 8gb RAM is 1200gb HDD
161,$349.71,HP Proliant DL380 G7 2x 3.06Ghz Hex Core X5675 Xeon 12GB DDR3 2 x 72GB SAS 15K
162,$186.00 to $466.00,Build Your Own HP Proliant BL460c G7 Blade 12-Core 3.33GHz X5680 Wholesale
163,"$468.00 to $1,227.00",Build Your Own Dell R720 8B SFF Server 16-Core 2.60GHz E5-2670 Wholesale
164,$109.99,"Dell Poweredge R610 Barebones 1x PSU 2x Heatsinks No cpu No 2.5"" HDD No RAID"
165,$283.00 to $573.00,Build Your Own Dell R320 4B iDRAC7 DRPS 6-Core 1.90GHz E5-2420 H710p Wholesale
166,$236.00 to $774.00,Build Your Own Dell R710 SFF 12-Core 3.33GHz X5680 PERC 6i iDRAC6 Wholesale
167,"$1,539.99",HP ProLiant DL380p G8 16B 1x PCI 24-Core 2.70GHz E5-2697 v2 192GB 4x 146GB P420
168,$431.27,Dell PowerEdge R710 2x Xeon X5670 2.93GHZ SixCore 24GB DDR3 PERC 6i BAT 3TB SATA
169,$100.00,New ListingDell PowerEdge R910 4x 2.0GHz 10-Core / 1TB / 16 x 600GB SAS
170,$199.99,New ListingDell PowerEdge R420 / 2 Intel Xeon E5-2407 Processors / 32 GB RAM / 2 PSUs
171,$236.00 to $774.00,Build Your Own Dell R710 SFF 12-Core 3.33GHz X5680 SAS 6/iR iDRAC6 Wholesale
172,"$2,273.98",New ListingNEW Intel R2312WFTZS Server System Barebone 2U Rack
173,$306.60,Supermicro x8st3-f 1xe5606 8gb 1.8 tbtb
174,$42.49,New ListingDell PowerEdge SC1425 Rackmount Server - Xeon 2.8GHz / 1GB / No HDD
175,"$1,913.98",New ListingNEW Intel R1208WFTYS Server System Barebone 1U Rack
176,$596.19,New ListingFujitsu Primergy RX1330 M1 4C 1x E3-1220 v3 @ 3.1GHz 16GB DDR3 2 XPSU 4x LFF
177,$464.99,Dell R420 8B SFF 8-Core 2.20GHz E5-2407 48GB 8x TRAYS H710 iDRAC7 1x PSU DRPS
178,$62.45,HP 653955-001 HP g8 g9 300-gb 6g 10k 2.5 SAS SC
179,"$27,750.00",Lenovo SR630 Server 2 x Platinum 8180 2.50 GHz 6 x 1TB 256GB RAM 530-8i
180,$929.99,Dell PowerEdge R720 8B SFF 16-Core 2.90GHz E5-2690 96GB 8x 146GB HD H710P 2x PSU
